Company,Revenue_INR_Crores,Expense_Item,Spend_INR_Crores
ITC Limited,69446.20,Cost of materials consumed,21772.58
ITC Limited,69446.20,Purchases of Stock-in-Trade,6063.32
ITC Limited,69446.20,Outward freight and handling charges,1582.34
ITC Limited,69446.20,Travelling and conveyance,217.19
HUL,61442.00,Cost of materials consumed,17791.00
HUL,61442.00,Purchases of Stock-in-Trade,11544.00
HUL,61442.00,Advertising and promotions,6489.00
HUL,61442.00,Outward freight and handling charges,232.26
Britannia,16769.27,Cost of materials consumed,7394.74
Britannia,16769.27,Purchases of Stock-in-Trade,2033.36
Britannia,16769.27,Advertising and sales promotion,619.37
Britannia,16769.27,Travelling and conveyance,92.46
